group,attack, ,test_recall,test_confusion_matrix, ,test_manipulated_recall,test_manipulatedconfusion_matrix, ,num of observations
0,1, ,0.67,"[[ 0  0]
 [ 7 14]]", ,0.0,"[[ 0  0]
 [21  0]]", ,21
0,2, ,0.64,"[[ 0  0]
 [ 8 14]]", ,0.0,"[[ 0  0]
 [22  0]]", ,22
0,3, ,0.64,"[[ 0  0]
 [ 8 14]]", ,0.0,"[[ 0  0]
 [22  0]]", ,22
0,4, ,0.64,"[[ 0  0]
 [ 8 14]]", ,0.64,"[[ 0  0]
 [ 8 14]]", ,22
0,5, ,0.67,"[[ 0  0]
 [ 7 14]]", ,0.0,"[[ 0  0]
 [21  0]]", ,21
0,6, ,0.62,"[[ 0  0]
 [ 8 13]]", ,0.0,"[[ 0  0]
 [21  0]]", ,21
1,1, ,0.52,"[[ 0  0]
 [11 12]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
1,2, ,0.52,"[[ 0  0]
 [11 12]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
1,3, ,0.52,"[[ 0  0]
 [11 12]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
1,4, ,0.52,"[[ 0  0]
 [11 12]]", ,0.52,"[[ 0  0]
 [11 12]]", ,23
1,5, ,0.52,"[[ 0  0]
 [11 12]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
1,6, ,0.52,"[[ 0  0]
 [11 12]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
2,1, ,0.62,"[[ 0  0]
 [ 9 15]]", ,0.0,"[[ 0  0]
 [24  0]]", ,24
2,2, ,0.62,"[[ 0  0]
 [ 9 15]]", ,0.0,"[[ 0  0]
 [24  0]]", ,24
2,3, ,0.62,"[[ 0  0]
 [ 9 15]]", ,0.0,"[[ 0  0]
 [24  0]]", ,24
2,4, ,0.62,"[[ 0  0]
 [ 9 15]]", ,0.62,"[[ 0  0]
 [ 9 15]]", ,24
2,5, ,0.62,"[[ 0  0]
 [ 9 15]]", ,0.0,"[[ 0  0]
 [24  0]]", ,24
2,6, ,0.62,"[[ 0  0]
 [ 9 15]]", ,0.0,"[[ 0  0]
 [24  0]]", ,24
3,1, ,0.73,"[[ 0  0]
 [ 6 16]]", ,0.0,"[[ 0  0]
 [22  0]]", ,22
3,2, ,0.7,"[[ 0  0]
 [ 7 16]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
3,3, ,0.7,"[[ 0  0]
 [ 7 16]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
3,4, ,0.73,"[[ 0  0]
 [ 6 16]]", ,0.73,"[[ 0  0]
 [ 6 16]]", ,22
3,5, ,0.73,"[[ 0  0]
 [ 6 16]]", ,0.0,"[[ 0  0]
 [22  0]]", ,22
3,6, ,0.7,"[[ 0  0]
 [ 7 16]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
4,1, ,0.62,"[[ 0  0]
 [ 8 13]]", ,0.0,"[[ 0  0]
 [21  0]]", ,21
4,2, ,0.65,"[[ 0  0]
 [ 8 15]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
4,3, ,0.65,"[[ 0  0]
 [ 8 15]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
4,4, ,0.65,"[[ 0  0]
 [ 8 15]]", ,0.65,"[[ 0  0]
 [ 8 15]]", ,23
4,5, ,0.62,"[[ 0  0]
 [ 8 13]]", ,0.0,"[[ 0  0]
 [21  0]]", ,21
4,6, ,0.65,"[[ 0  0]
 [ 8 15]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
